"Matriz A","Matriz B","Iteração","Tempo em Milisegundos"
"A4x4","B4x4","0","0"
"A4x4","B4x4","1","0"
"A4x4","B4x4","2","0"
"A4x4","B4x4","3","0"
"A4x4","B4x4","4","0"
"A4x4","B4x4","5","0"
"A4x4","B4x4","6","0"
"A4x4","B4x4","7","0"
"A4x4","B4x4","8","0"
"A4x4","B4x4","9","0"
"A4x4","B4x4","10","0"
"A4x4","B4x4","11","0"
"A4x4","B4x4","12","0"
"A4x4","B4x4","13","0"
"A4x4","B4x4","14","0"
"A4x4","B4x4","15","0"
"A4x4","B4x4","16","0"
"A4x4","B4x4","17","0"
"A4x4","B4x4","18","0"
"A4x4","B4x4","19","0"
